# angle        average        +1sigma        +2sigma        -1sigma        -2sigma
126.0000000000 0.3728116024 0.4463227242 0.5198338460 0.2993004806 0.2257893588
127.0000000000 0.3788063202 0.4529895611 0.5271728021 0.3046230793 0.2304398383
128.0000000000 0.3849044500 0.4599053795 0.5349063089 0.3099035205 0.2349025911
129.0000000000 0.3910020849 0.4669649857 0.5429278865 0.3150391840 0.2390762832
130.0000000000 0.3970089014 0.4740773981 0.5511458947 0.3199404048 0.2428719082
131.0000000000 0.4028477844 0.4811649589 0.5594821334 0.3245306099 0.2462134354
132.0000000000 0.4084541834 0.4881621070 0.5678700306 0.3287462598 0.2490383363
133.0000000000 0.4137751154 0.4950138199 0.5762525245 0.3325364108 0.2512977063
134.0000000000 0.4187680327 0.5016739552 0.5845798777 0.3358621102 0.2529561877
135.0000000000 0.4233994887 0.5081034941 0.5928074995 0.3386954833 0.2539914779
136.0000000000 0.4276437394 0.5142688075 0.6008938755 0.3410186714 0.2543936034
137.0000000000 0.4314813000 0.5201400540 0.6087988080 0.3428225460 0.2541637920
138.0000000000 0.4348975142 0.5256896768 0.6164818394 0.3441053516 0.2533131889
139.0000000000 0.4378812188 0.5308911571 0.6239010954 0.3448712804 0.2518613421
140.0000000000 0.4404235094 0.5357179364 0.6310123634 0.3451290823 0.2498346553
141.0000000000 0.4425166370 0.5401426027 0.6377685685 0.3448906713 0.2472647056
142.0000000000 0.4441531349 0.5441363029 0.6441194709 0.3441699669 0.2441867989
143.0000000000 0.4453250993 0.5476684372 0.6500117750 0.3429817614 0.2406384235
144.0000000000 0.4460237029 0.5507065413 0.6553893798 0.3413408645 0.2366580260
145.0000000000 0.4462389440 0.5532164520 0.6601939600 0.3392614360 0.2322839279
146.0000000000 0.4459596022 0.5551626639 0.6643657256 0.3367565404 0.2275534787
147.0000000000 0.4451733873 0.5565088955 0.6678444038 0.3338378790 0.2225023707
148.0000000000 0.4438673296 0.5572188649 0.6705704002 0.3305157943 0.2171642590
149.0000000000 0.4420283038 0.5572572090 0.6724861142 0.3267993987 0.2115704935
150.0000000000 0.4396437255 0.5565905370 0.6735373484 0.3226969140 0.2057501025
151.0000000000 0.4367023748 0.5551886285 0.6736748822 0.3182161210 0.1997298673
152.0000000000 0.4331952825 0.5530256572 0.6728560320 0.3133649077 0.1935345329
153.0000000000 0.4291167075 0.5500814639 0.6710462204 0.3081519510 0.1871871945
154.0000000000 0.4244650921 0.5463428362 0.6682205803 0.3025873480 0.1807096039
155.0000000000 0.4192440192 0.5418047098 0.6643654003 0.2966833287 0.1741226382
156.0000000000 0.4134631212 0.5364713146 0.6594795081 0.2904549277 0.1674467342
157.0000000000 0.4071388687 0.5303571542 0.6535754397 0.2839205833 0.1607022978
158.0000000000 0.4002952630 0.5234878142 0.6466803654 0.2771027118 0.1539101606
159.0000000000 0.3929643656 0.5159005925 0.6388368193 0.2700281388 0.1470919120
160.0000000000 0.3851866345 0.5076448355 0.6301030364 0.2627284336 0.1402702327
161.0000000000 0.3770110977 0.4987820500 0.6205530022 0.2552401454 0.1334691931
162.0000000000 0.3684952786 0.4893857022 0.6102761257 0.2476048550 0.1267144314
163.0000000000 0.3597049210 0.4795407352 0.5993765493 0.2398691068 0.1200332926
164.0000000000 0.3507134738 0.4693427413 0.5879720088 0.2320842063 0.1134549388
165.0000000000 0.3416013795 0.4588969014 0.5761924232 0.2243058577 0.1070103359
166.0000000000 0.3324551318 0.4483165930 0.5641780542 0.2165936706 0.1007322094
167.0000000000 0.3233661398 0.4377217386 0.5520773374 0.2090105410 0.0946549422
168.0000000000 0.3144294342 0.4272369782 0.5400445222 0.2016218901 0.0888143461
169.0000000000 0.3057422191 0.4169896070 0.5282369948 0.1944948313 0.0832474434
170.0000000000 0.2974023011 0.4071074227 0.5168125442 0.1876971796 0.0779920581
171.0000000000 0.2895064777 0.3977164932 0.5059265087 0.1812964622 0.0730864467
172.0000000000 0.2821488169 0.3889388740 0.4957289311 0.1753587597 0.0685687026
173.0000000000 0.2754190083 0.3808904437 0.4863618792 0.1699475728 0.0644761373
174.0000000000 0.2694007238 0.3736787911 0.4779568584 0.1651226565 0.0608445892
175.0000000000 0.2641700424 0.3674012733 0.4706325042 0.1609388114 0.0577075805
176.0000000000 0.2597940161 0.3621432821 0.4644925482 0.1574447500 0.0550954840
177.0000000000 0.2563293912 0.3579767758 0.4596241604 0.1546820066 0.0530346220
178.0000000000 0.2538214952 0.3549589794 0.4560964635 0.1526840111 0.0515465270
179.0000000000 0.2523033602 0.3531314812 0.4539596021 0.1514752393 0.0506471184
180.0000000000 0.2517950672 0.3525194915 0.4532439158 0.1510706428 0.0503462185
